,Algorithm used,s-t pair 1,s-t pair 2,s-t pair 3,s-t pair 4,s-t pair 5,Average
Sparse,Dikjstra’s Algorithm without heap,2216,163246,123705,57988,152341,99899.2
Graph,Dikjstra’s Algorithm with heap,431,4714,6071,4919,5857,4398.4
1,modified Kruskal using HeapSort,15046,648,566,635,336,3446.2
,,,,,,,
Sparse,Dikjstra’s Algorithm without heap,3248,64684,93679,147950,11816,64275.4
Graph,Dikjstra’s Algorithm with heap,1331,3801,4160,5612,2988,3578.4
2,modified Kruskal using HeapSort,15766,204,229,761,251,3442.2
,,,,,,,
Sparse,Dikjstra’s Algorithm without heap,65844,141100,49906,165426,52376,94930.4
Graph,Dikjstra’s Algorithm with heap,2575,4459,2604,6217,730,3317
3,modified Kruskal using HeapSort,15046,648,566,635,336,3446.2
,,,,,,,
Sparse,Dikjstra’s Algorithm without heap,29928,42624,165650,161913,66783,93379.6
Graph,Dikjstra’s Algorithm with heap,1366,5175,6325,5969,5495,4866
4,modified Kruskal using HeapSort,16744,750,253,743,500,3798
,,,,,,,
Sparse,Dikjstra’s Algorithm without heap,101238,46442,135238,141807,20459,89036.8
Graph,Dikjstra’s Algorithm with heap,4401,823,5190,5649,1246,3461.8
5,modified Kruskal using HeapSort,15253,339,586,412,418,3401.6
,,,,,,,
Dense,Dikjstra’s Algorithm without heap,206063,253520,94123,12733,476077,208503.2
Graph,Dikjstra’s Algorithm with heap,183228,26391,84890,9001,398770,140456
1,modified Kruskal using HeapSort,663433,386,420,200,688,133025.4
,,,,,,,
Dense,Dikjstra’s Algorithm without heap,608347,134048,35375,83154,10960,174376.8
Graph,Dikjstra’s Algorithm with heap,498824,192976,172437,274999,11829,230213
2,modified Kruskal using HeapSort,672696,387,390,335,529,134867.4
,,,,,,,
Dense,Dikjstra’s Algorithm without heap,335882,477015,430695,562196,164731,394103.8
Graph,Dikjstra’s Algorithm with heap,285532,374727,352018,465801,173732,330362
3,modified Kruskal using HeapSort,720161,676,445,246,805,144466.6
,,,,,,,
Dense,Dikjstra’s Algorithm without heap,65670,104190,449828,96767,62760,155843
Graph,Dikjstra’s Algorithm with heap,96831,337815,365158,253368,70854,224805.2
4,modified Kruskal using HeapSort,635269,392,130,567,274,127326.4
,,,,,,,
Dense,Dikjstra’s Algorithm without heap,48876,224003,40681,37610,535210,177276
Graph,Dikjstra’s Algorithm with heap,24683,182786,39672,140499,424249,162377.8
5,modified Kruskal using HeapSort,631218,677,511,613,478,126699.4
